EXP_NUM,MODEL,DATASET,POISONING_RATE,TRIGGER_SIZE,TRIGGER_TYPE,CDA,ASR
0,FTT,SDSS,1e-05,1,OOB,0.9898,0.9999441808540329
1,FTT,SDSS,1e-05,1,OOB,0.99125,0.9998325425620987
2,FTT,SDSS,1e-05,1,OOB,0.99005,0.9999441808540329
3,FTT,SDSS,1e-05,1,OOB,0.99085,0.9998883617080658
4,FTT,SDSS,1e-05,1,OOB,0.98995,1.0
0,FTT,SDSS,5e-05,1,OOB,0.98925,0.9999441808540329
1,FTT,SDSS,5e-05,1,OOB,0.99015,0.9998883617080658
2,FTT,SDSS,5e-05,1,OOB,0.9888,0.9998883617080658
3,FTT,SDSS,5e-05,1,OOB,0.99095,0.9998883617080658
4,FTT,SDSS,5e-05,1,OOB,0.99065,1.0
0,FTT,SDSS,0.0001,1,OOB,0.9887,0.9999441808540329
1,FTT,SDSS,0.0001,1,OOB,0.9915,0.9998883617080658
2,FTT,SDSS,0.0001,1,OOB,0.989,0.9999441808540329
3,FTT,SDSS,0.0001,1,OOB,0.99105,0.9998883617080658
4,FTT,SDSS,0.0001,1,OOB,0.99065,1.0
0,FTT,SDSS,0.0002,1,OOB,0.98895,0.9999441808540329
1,FTT,SDSS,0.0002,1,OOB,0.9919,0.9998883617080658
2,FTT,SDSS,0.0002,1,OOB,0.98965,0.9999441808540329
3,FTT,SDSS,0.0002,1,OOB,0.9912,0.9998883617080658
4,FTT,SDSS,0.0002,1,OOB,0.9905,1.0
0,FTT,SDSS,0.0003,1,OOB,0.98935,0.9999441808540329
1,FTT,SDSS,0.0003,1,OOB,0.99185,0.9998883617080658
2,FTT,SDSS,0.0003,1,OOB,0.98995,0.9999441808540329
3,FTT,SDSS,0.0003,1,OOB,0.99105,0.9998883617080658
4,FTT,SDSS,0.0003,1,OOB,0.99085,1.0
0,FTT,SDSS,0.0004,1,OOB,0.98975,0.9999441808540329
1,FTT,SDSS,0.0004,1,OOB,0.9918,0.9998883617080658
2,FTT,SDSS,0.0004,1,OOB,0.98995,0.9999441808540329
3,FTT,SDSS,0.0004,1,OOB,0.9909,0.9998883617080658
4,FTT,SDSS,0.0004,1,OOB,0.9898,1.0
0,FTT,SDSS,0.0005,1,OOB,0.9896,0.9999441808540329
1,FTT,SDSS,0.0005,1,OOB,0.9915,0.9999441808540329
2,FTT,SDSS,0.0005,1,OOB,0.98945,0.9999441808540329
3,FTT,SDSS,0.0005,1,OOB,0.99115,0.9998883617080658
4,FTT,SDSS,0.0005,1,OOB,0.99065,1.0
0,FTT,SDSS,0.001,1,OOB,0.9894,0.9999441808540329
1,FTT,SDSS,0.001,1,OOB,0.9917,0.9998883617080658
2,FTT,SDSS,0.001,1,OOB,0.98985,0.9999441808540329
3,FTT,SDSS,0.001,1,OOB,0.99065,0.9998883617080658
4,FTT,SDSS,0.001,1,OOB,0.99055,1.0
0,FTT,SDSS,1e-05,2,OOB,0.98935,0.9999441808540329
1,FTT,SDSS,1e-05,2,OOB,0.99105,0.9998325425620987
2,FTT,SDSS,1e-05,2,OOB,0.99005,0.9999441808540329
3,FTT,SDSS,1e-05,2,OOB,0.9909,0.9998883617080658
4,FTT,SDSS,1e-05,2,OOB,0.98995,1.0
0,FTT,SDSS,5e-05,2,OOB,0.98925,0.9999441808540329
1,FTT,SDSS,5e-05,2,OOB,0.9918,0.9998325425620987
2,FTT,SDSS,5e-05,2,OOB,0.98875,0.9999441808540329
3,FTT,SDSS,5e-05,2,OOB,0.99045,0.9998883617080658
4,FTT,SDSS,5e-05,2,OOB,0.99055,1.0
0,FTT,SDSS,0.0001,2,OOB,0.98945,0.9998883617080658
1,FTT,SDSS,0.0001,2,OOB,0.99145,0.9998883617080658
2,FTT,SDSS,0.0001,2,OOB,0.98965,0.9999441808540329
3,FTT,SDSS,0.0001,2,OOB,0.9911,0.9998883617080658
4,FTT,SDSS,0.0001,2,OOB,0.99055,1.0
0,FTT,SDSS,0.0002,2,OOB,0.98905,0.9999441808540329
1,FTT,SDSS,0.0002,2,OOB,0.9916,0.9998883617080658
2,FTT,SDSS,0.0002,2,OOB,0.9896,0.9999441808540329
3,FTT,SDSS,0.0002,2,OOB,0.9912,0.9998883617080658
4,FTT,SDSS,0.0002,2,OOB,0.99035,1.0
0,FTT,SDSS,0.0003,2,OOB,0.9895,0.9999441808540329
1,FTT,SDSS,0.0003,2,OOB,0.99165,0.9998883617080658
2,FTT,SDSS,0.0003,2,OOB,0.9899,0.9999441808540329
3,FTT,SDSS,0.0003,2,OOB,0.9909,0.9998883617080658
4,FTT,SDSS,0.0003,2,OOB,0.99085,1.0
0,FTT,SDSS,0.0004,2,OOB,0.98975,0.9999441808540329
1,FTT,SDSS,0.0004,2,OOB,0.9918,0.9998883617080658
2,FTT,SDSS,0.0004,2,OOB,0.9899,0.9999441808540329
3,FTT,SDSS,0.0004,2,OOB,0.9908,0.9998883617080658
4,FTT,SDSS,0.0004,2,OOB,0.99,1.0
0,FTT,SDSS,0.0005,2,OOB,0.9891,0.9999441808540329
1,FTT,SDSS,0.0005,2,OOB,0.9914,0.9999441808540329
2,FTT,SDSS,0.0005,2,OOB,0.98935,0.9999441808540329
3,FTT,SDSS,0.0005,2,OOB,0.991,0.9998883617080658
4,FTT,SDSS,0.0005,2,OOB,0.99055,1.0
0,FTT,SDSS,0.001,2,OOB,0.9893,0.9999441808540329
1,FTT,SDSS,0.001,2,OOB,0.99165,0.9998883617080658
2,FTT,SDSS,0.001,2,OOB,0.99,0.9999441808540329
3,FTT,SDSS,0.001,2,OOB,0.99085,0.9998883617080658
4,FTT,SDSS,0.001,2,OOB,0.99075,1.0
0,FTT,SDSS,1e-05,3,OOB,0.98925,0.9999441808540329
1,FTT,SDSS,1e-05,3,OOB,0.9913,0.9998325425620987
2,FTT,SDSS,1e-05,3,OOB,0.9899,0.9999441808540329
3,FTT,SDSS,1e-05,3,OOB,0.9909,0.9998883617080658
4,FTT,SDSS,1e-05,3,OOB,0.98995,0.9998883617080658
0,FTT,SDSS,5e-05,3,OOB,0.98935,0.9999441808540329
1,FTT,SDSS,5e-05,3,OOB,0.9901,0.9998325425620987
2,FTT,SDSS,5e-05,3,OOB,0.9889,0.9999441808540329
3,FTT,SDSS,5e-05,3,OOB,0.99045,0.9998325425620987
4,FTT,SDSS,5e-05,3,OOB,0.9907,1.0
0,FTT,SDSS,0.0001,3,OOB,0.98875,0.9999441808540329
1,FTT,SDSS,0.0001,3,OOB,0.9915,0.9998883617080658
2,FTT,SDSS,0.0001,3,OOB,0.98925,0.9998883617080658
3,FTT,SDSS,0.0001,3,OOB,0.99075,0.9998325425620987
